I6U616_1|b.34.14.1,c.55.3.10|d1u04a1,d1u04a2 annotated_I6U616|b.34.14.1,c.55.3.10|d1u04a1,d1u04a2 5272
Q9V2Z6_1|c.72.1.3|d1ua4a_ annotated_Q9V2Z6|c.72.1.3|d1ua4a_ 3073
P39126_1|c.77.1.1|d1hqsa_ annotated_P39126|c.77.1.1|d1hqsa_ 2815
P0DJQ8_1|d.153.1.1,c.26.2.1|d1jgta2,d1jgta1 annotated_P0DJQ8|d.153.1.1,c.26.2.1|d1jgta2,d1ct9a1 2714
Q9RWB2_1|a.103.1.1|d1ioma_ annotated_Q9RWB2|a.103.1.1|d1ioma_ 2487
Q03103_1|a.227.1.1|d1rp4a_ annotated_Q03103|a.227.1.1|d1rp4a_ 2470
O52552_1|c.67.1.4|d1b9ha_ annotated_O52552|c.67.1.4,c.67.1.1,c.67.1.4,c.67.1.1,c.67.1.3,c.67.1.1,c.67.1.2,c.67.1.1,c.67.1.4,c.67.1.3,c.67.1.5,c.67.1.4,c.67.1.3,c.67.1.9,c.67.1.8,c.67.1.4|d1b9ha_,d1lc5a_,d1o69a_,d1svva_,d1c7na_,d2q7wa1,d2v1pa1,d1v2da_,d1o69a_,d1t3ia_,d1c4ka2,d1bs0a_,d1qz9a_,d2e7ja1,d2aeua1,d1kl1a_ 2371
P17612_1|d.144.1.7|d1rdqe_ annotated_P17612|d.144.1.7,d.144.1.9,d.144.1.7|d1rdqe_,d1zara2,d1tkia_ 2347
P0DJQ6_1|d.154.1.2|d1vz6a_ annotated_P0DJQ6|d.154.1.2|d1vz6a_ 2344
P38251_1|c.37.1.20,a.80.1.1|d1sxje2,d1sxje1 annotated_P38251|c.37.1.20,a.80.1.1|d1sxje2,d1sxje1 2296
Q02127_1|c.1.4.1|d1d3ga_ annotated_Q02127|c.1.4.1|d1d3ga_ 2251
Q8U1N9_1|d.159.1.4|d1ii7a_ annotated_Q8U1N9|d.159.1.4,d.159.1.5,d.159.1.7,d.159.1.8,d.159.1.11,d.159.1.7,d.159.1.12,d.159.1.6,d.159.1.11|d1ii7a_,d1nnwa_,d1s3la_,d1xm7a_,d2hy1a1,d1z2wa1,d2nxfa1,d2yvta1,d3d03a1 2243
